text,label
"I have been feeling really down and hopeless lately. Nothing brings me joy anymore.",Depression
"My heart races every time I think about going outside. Panic attacks are frequent.",Anxiety
"Just had a great day at the park with friends. Weather was perfect.",Normal
"The mood swings are exhausting. One moment I'm on top of the world the next I'm crashing.",Bipolar
"Cannot stop reliving that accident. Every loud noise sends me back there.",PTSD
"Work deadlines piling up. Cannot sleep. Tension headaches daily.",Stress
"I feel disconnected from everyone. Relationships are always intense and unstable.",Personality disorder
"Today was okay. Had coffee with mom and watched a movie.",Normal
"I'm tired all the time and don't want to get out of bed.",Depression
"Flashbacks again last night. Woke up in cold sweat.",PTSD
