text,label
i have been feeling really down and hopeless lately. nothing brings me joy anymore.,Depression
my heart races every time i think about going outside. panic attacks are frequent.,Anxiety
just had a great day at the park with friends. weather was perfect.,Normal
the mood swings are exhausting. one moment i'm on top of the world the next i'm crashing.,Bipolar
cannot stop reliving that accident. every loud noise sends me back there.,PTSD
work deadlines piling up. cannot sleep. tension headaches daily.,Stress
i feel disconnected from everyone. relationships are always intense and unstable.,Personality disorder
today was okay. had coffee with mom and watched a movie.,Normal
i'm tired all the time and don't want to get out of bed.,Depression
flashbacks again last night. woke up in cold sweat.,PTSD
